"No	4004
attended	3277
holding	303
more.	2009
advocacy	2203
Healthcare.gov	1863
more,	2951
GDP	480
deputy	4009
declared	1235
time.	317
event	506
advanced	2356
generation	2330
Francis	2816
James	951
troubled	2257
told	156
campaigning	2780
violates	3891
answer	1553
possibly	2668
regard	2587
meet	118
day.	1191
3pt	4867
day,	1317
"This	616
payments	158
quality	1912
violated	3183
McCain	1537
moral	1217
chairs	3273
ever,	4241
too.	2669
biggest	743
too,	1874
drawing	4262
relief	2990
advised	4576
"and	4523
times	645
grew	857
Chamber	3998
enjoyed	2850
experts	2124
tone	2795
policy.	2196
Fed	4757
policy,	2507
illegal	2717
invisible	3241
confused	2504
consultant	3201
suffer	1337
cutting	1048
join	1926
taking	205
labor	3982
advocates	4204
expertise	4277
red	1541
days	263
true.	1929
advice	4536
resources	3141
unions	3850
Marilyn	3743
president's	416
basis	2247
Vucci/AP	2944
banning	4745
consumption	4064
drop	648
exception	4733
observers	3832
John	68
policies	502
Blue	3197
trapped	3063
strengthening	2333
estimated	1338
basic	418
priority	2444
civilian	394
reputation	2208
motion	119
alongside	2367
station	4663
automatic	4789
Adam	2362
resist	3790
criticism	2171
double	2357
country	200
Russell	2730
speech	16
involved	187
City,	4778
"They	1230
Harvard	3396
column	4118
fewer	1223
areas	1818
treasury	1335
Democratic	691
update	3694
African	1882
connect	4178
people.	1359
people,	1170
Michigan,	2175
Carolina	962
complaints	3314
generous	4271
business	530
completely	1969
immigration	884
fuel	3796
Bernanke	4771
Friday	116
reached	341
spends	2779
woman's	4270
"My	3309
estimates	1994
New	332
Whole	4060
hospitals	638
entire	1160
advantage	2478
ran	1144
female	4303
peace	1627
Paul,	4244
plagued	3854
"It's	862
Paul.	2319
adding	1298
Whether	3725
jobs	738
attacking	2099
lower	345
Nobody	3653
last-minute	558
rock	4274
Washington's	1779
zeal	2561
further.	3065
jobs,	1845
further,	3384
jobs.	742
border	3999
element	2760
consequences	166
support	241
identify	4100
job	336
bonds	1442
health	8
"That	2438
"He	2823
row	314
subsidy	2128
regain	3297
stand-off	4857
Will	1446
"Our	2193
western	2476
publicly	2854
job.	3975
television	2338
concession	1314
Economists	4821
memo	2133
mandate	1464
explicitly	3360
Women	4812
Syria	3100
thought	307
easily	1568
road	1312
"If	366
space	1192
express	2475
decision	685
conservatives,	4438
long.	2540
endless	2517
conservatives.	1281
trading	3074
aimed	1304
held	571
Never	4616
responding	537
life.	1487
enormous	1456
officials	1081
issues.	1372
life,	3041
helps	2400
suggestions	4415
marijuana	4122
Labor	629
issues,	1683
"In	2061
recall	4330
worried	942
"It	358
McConnell,	1395
strengthen	3800
telephone	4248
warning	1110
swiftly	3629
for-profit	3081
manufacturing	1342
single	623
century.	4713
century,	4260
wife,	3403
entered	3261
Federal	808
mess	4817
posed	3496
Obamacare	11
focused	1509
writes	1827
writer	3354
penalty	2126
younger	4115
Musk	3248
analyst	2805
joint	3862
easier	2539
philosophy	4294
Jindal	2950
500	1803
Despite	765
economist	4805
50%	2379
Republican,	1640
involving	3632
mere	2903
about.	4338
Citizens	3621
Either	1939
about,	4607
security	169
particular,	3773
Paul's	4400
"For	4766
develop	3207
marketplace	2227
drug	1381
offer	319
meltdown	4360
media.	2700
media,	3039
needed.	4829
shifted	4888
time,	283
fought	1582
looked	1625
scientific	4108
Republicans	5
Amazon	3225
advance	2658
expansion,	3904
worse.	3320
understand	199
discussion	1835
candidate,	2412
maintain	2731
conducted	3709
lie.	2681
production	4544
practices	3540
Thursday	1251
years.	554
declined	2638
appeal	2026
years,	617
Sisters	3885
October	146
"These	4166
signs	595
futile	4148
acknowledging	4677
website's	3312
discussing	3075
part-time	335
suggest	1605
saying:	2898
calls	516
system	67
terrible	1753
favor	490
advocate	4845
cheap	4591
eliminate	3988
deadline	425
press	517
sort	1183
minimum	1062
lies	2310
expensive	3324
platforms	4881
run	312
goes,	4671
absolute	4440
Foreign	4902
Bradley	3571
life	657
significant	1189
bureaucratic	3634
